,m,n,p,s,K,corr,ind,time
0,20,100,0.1,0.0,4,1.0,1.0,11.887801170349121
1,20,100,0.1,0.05,4,0.3,0.5,118.42568898200989
2,20,100,0.1,0.1,4,0.65,0.5,115.94095706939697
3,20,100,0.1,0.15000000000000002,4,0.55,0.55,110.44499015808105
4,20,100,0.1,0.2,4,0.65,0.65,113.07011890411377
5,20,100,0.1,0.25,4,0.35,0.35,109.17592787742615
6,20,100,0.1,0.30000000000000004,4,0.45,0.55,109.45625901222229
7,20,100,0.1,0.35000000000000003,4,0.4,0.55,110.0031476020813
8,20,100,0.1,0.4,4,0.55,0.4,109.99237179756165
9,20,100,0.1,0.45,4,0.35,0.45,110.84163498878479
10,20,100,0.1,0.5,4,0.7,0.7,872.086874961853
11,20,100,0.1,0.55,4,0.3,0.45,107.35429191589355
12,20,100,0.1,0.6000000000000001,4,0.7,0.55,109.35932207107544
13,20,100,0.1,0.65,4,0.45,0.35,109.4630880355835
14,20,100,0.1,0.7000000000000001,4,0.45,0.5,109.11569809913635
15,20,100,0.1,0.75,4,0.6,0.4,110.04879474639893
16,20,100,0.1,0.8,4,0.2,0.5,122.25073480606079
17,20,100,0.1,0.8500000000000001,4,0.6,0.85,115.52645468711853
18,20,100,0.1,0.9,4,0.4,0.45,115.83262634277344
19,20,100,0.1,0.9500000000000001,4,0.35,0.45,114.80548691749573
20,20,100,0.1,1.0,4,0.45,0.25,113.74180316925049
