File A,File B,Iterations,Similarity,n
UCSB37,Vanderbilt48,100.0,0.9999984913380974,3.0
UCSB37,Vanderbilt48,100.0,0.9673056389447845,4.0
UCSB37,Vanderbilt48,100.0,0.7726204780706634,5.0
UCSB37,Vanderbilt48,100.0,0.4004737201972966,6.0
UCSB37,USF51,100.0,0.999997641291997,3.0
UCSB37,USF51,100.0,0.9068494021225117,4.0
UCSB37,USF51,100.0,0.9493757204214192,5.0
UCSB37,USF51,100.0,-0.03322495633728017,6.0
UCSB37,GWU54,100.0,0.9999982063268379,3.0
UCSB37,GWU54,100.0,0.7935982718589538,4.0
UCSB37,GWU54,100.0,0.6256141559753764,5.0
UCSB37,GWU54,100.0,0.2854003370379223,6.0
UCSB37,WashU32,100.0,0.9999985604291073,3.0
UCSB37,WashU32,100.0,0.9740109230580323,4.0
UCSB37,WashU32,100.0,0.8621044935132544,5.0
UCSB37,WashU32,100.0,0.46578269488423757,6.0
UCSB37,USC35,100.0,0.9999982002021551,3.0
UCSB37,USC35,100.0,0.04198496569260479,4.0
UCSB37,USC35,100.0,0.3979324984336631,5.0
UCSB37,JohnsHopkins55,100.0,0.9999981735344459,3.0
UCSB37,JohnsHopkins55,100.0,0.9981483566954332,4.0
UCSB37,JohnsHopkins55,100.0,0.9925488801770818,5.0
UCSB37,JohnsHopkins55,100.0,0.9415995921541982,6.0
UCSB37,Cal65,100.0,0.999998627706513,3.0
UCSB37,Cal65,100.0,0.9990711193068192,4.0
UCSB37,Cal65,100.0,0.9977329576361802,5.0
UCSB37,Cal65,100.0,0.9433600415785626,6.0
UCSB37,BU10,100.0,0.9999985348784701,3.0
UCSB37,BU10,100.0,0.9137466995351801,4.0
UCSB37,BU10,100.0,0.6971350379968185,5.0
UCSB37,Princeton12,100.0,0.999998511162781,3.0
UCSB37,Princeton12,100.0,0.9996101377944153,4.0
UCSB37,Princeton12,100.0,0.998354828726485,5.0
UCSB37,Princeton12,100.0,0.9406038165417867,6.0
UCSB37,Maryland58,100.0,0.9999978590292653,3.0
UCSB37,Maryland58,100.0,-0.08028731190312025,4.0
UCSB37,Maryland58,100.0,0.3877522612357698,5.0
UCSB37,Amherst41,100.0,0.999996497216182,3.0
UCSB37,Amherst41,100.0,0.999959870729145,4.0
UCSB37,Amherst41,100.0,0.997393068960825,5.0
UCSB37,Amherst41,100.0,0.9358395797777317,6.0
UCSB37,Vassar85,100.0,0.9999967240089009,3.0
UCSB37,Vassar85,100.0,0.9999693666870746,4.0
UCSB37,Vassar85,100.0,0.9973584326917942,5.0
UCSB37,Vassar85,100.0,0.936971673379904,6.0
UCSB37,USFCA72,100.0,0.9999962082669829,3.0
UCSB37,USFCA72,100.0,0.9994628262444021,4.0
UCSB37,USFCA72,100.0,0.99992684123543,5.0
UCSB37,USFCA72,100.0,0.9697097505220461,6.0
UCSB37,Wesleyan43,100.0,0.999997658146772,3.0
UCSB37,Wesleyan43,100.0,0.9998988082622865,4.0
UCSB37,Wesleyan43,100.0,0.9979142931250019,5.0
UCSB37,Wesleyan43,100.0,0.936380415627688,6.0
UCSB37,Yale4,100.0,0.9999981458105569,3.0
UCSB37,Yale4,100.0,0.9038109439168948,4.0
UCSB37,Yale4,100.0,0.6199736291867204,5.0
UCSB37,Yale4,100.0,0.2977080497250767,6.0
UCSB37,MU78,100.0,0.999998994034887,3.0
UCSB37,MU78,100.0,0.9997503713422247,4.0
UCSB37,MU78,100.0,0.9982899838946421,5.0
UCSB37,MU78,100.0,0.9447802082097784,6.0
UCSB37,UIllinois20,100.0,0.9999987840531157,3.0
UCSB37,UIllinois20,100.0,0.10901286197941483,4.0
UCSB37,Hamilton46,100.0,0.9999962065161021,3.0
UCSB37,Hamilton46,100.0,0.9990861739736131,4.0
UCSB37,Hamilton46,100.0,0.9991101458320742,5.0
UCSB37,Hamilton46,100.0,0.9469560512675057,6.0
UCSB37,Middlebury45,100.0,0.9999970144957439,3.0
UCSB37,Middlebury45,100.0,0.9999592226061884,4.0
UCSB37,Middlebury45,100.0,0.9973316150046755,5.0
UCSB37,Middlebury45,100.0,0.9342532566422651,6.0
UCSB37,UConn91,100.0,0.9999985621818723,3.0
UCSB37,UConn91,100.0,0.9668276145671498,4.0
UCSB37,UConn91,100.0,0.8304747017824415,5.0
UCSB37,American75,100.0,0.9999979742235143,3.0
UCSB37,American75,100.0,0.99587263418287,4.0
UCSB37,American75,100.0,0.984010268175501,5.0
UCSB37,American75,100.0,0.8866305717670593,6.0
UCSB37,Villanova62,100.0,0.9999982780482729,3.0
UCSB37,Villanova62,100.0,0.994594849320073,4.0
UCSB37,Villanova62,100.0,0.974486459877804,5.0
UCSB37,Villanova62,100.0,0.8275094198750106,6.0
UCSB37,Bowdoin47,100.0,0.9999954010420725,3.0
UCSB37,Bowdoin47,100.0,0.9991757591336045,4.0
UCSB37,Bowdoin47,100.0,0.9997672797112384,5.0
UCSB37,Bowdoin47,100.0,0.9691790765641576,6.0
UCSB37,Williams40,100.0,0.9999968582740737,3.0
UCSB37,Williams40,100.0,0.999237686982863,4.0
UCSB37,Williams40,100.0,0.9993533871765916,5.0
UCSB37,Williams40,100.0,0.9479639685866175,6.0
UCSB37,UNC28,100.0,0.9999977428529058,3.0
UCSB37,UNC28,100.0,-0.16079149586440836,4.0
