File A,File B,Similarity,n
UCSB37,Maine59,5.046324909810001e+20,5.0
UCSB37,Maine59,4.490293505418e+23,6.0
UCSB37,Maine59,7.014769081361999e+27,7.0
UCSB37,Maine59,4.5270753718259235e+31,8.0
UCSB37,MIT8,228876227300000.0,3.0
UCSB37,MIT8,2.35377682308e+17,4.0
UCSB37,MIT8,1.73090777863e+21,5.0
UCSB37,MIT8,1.196625832573e+24,6.0
UCSB37,MIT8,2.023757509953e+28,7.0
UCSB37,MIT8,1.1603616105486877e+31,8.0
UCSB37,UGA50,1217744257020000.0,3.0
UCSB37,UGA50,1.344961530889e+18,4.0
UCSB37,UGA50,1.86419442575e+22,5.0
UCSB37,UGA50,7.2113479982196e+25,6.0
UCSB37,UGA50,3.9618998416267e+30,7.0
UCSB37,Brandeis99,108251265587000.0,3.0
UCSB37,Brandeis99,4.6046285041e+16,4.0
UCSB37,Brandeis99,1.8346678695860002e+21,5.0
UCSB37,Brandeis99,8.788566800593002e+24,6.0
UCSB37,Brandeis99,3.137280358079622e+29,7.0
UCSB37,Brandeis99,5.349343815453892e+33,8.0
UCSB37,UCF52,373658046220000.0,3.0
UCSB37,UCF52,-9.64834895059e+17,4.0
UCSB37,UCF52,5.4197985765239994e+22,5.0
UCSB37,UCF52,8.06468606709075e+26,6.0
UCSB37,UCF52,8.78948276151971e+31,7.0
UCSB37,UCF52,4.1478822788451334e+36,8.0
UCSB37,UPenn7,666659540660000.0,3.0
UCSB37,UPenn7,8.91853917158e+17,4.0
UCSB37,UPenn7,6.72537616387e+21,5.0
UCSB37,UPenn7,9.72612300058e+24,6.0
UCSB37,UPenn7,1.9360168755203e+29,7.0
UCSB37,UPenn7,1.3711950278883564e+33,8.0
UCSB37,FSU53,891700524710000.0,3.0
UCSB37,FSU53,6.40576682629e+17,4.0
UCSB37,FSU53,9.8572456664e+21,5.0
UCSB37,FSU53,3.169718155721042e+25,6.0
UCSB37,FSU53,1.7152656005255505e+30,7.0
UCSB37,Caltech36,7113535247700.0,3.0
UCSB37,Caltech36,5323408170770000.0,4.0
UCSB37,Caltech36,1.3610044638899999e+19,5.0
UCSB37,Caltech36,9.022413323946e+21,6.0
UCSB37,Caltech36,3.6616127072589997e+25,7.0
UCSB37,Caltech36,8.7535184645182e+27,8.0
UCSB37,Rochester38,113289204154000.0,3.0
UCSB37,Rochester38,1.150037412964e+17,4.0
UCSB37,Rochester38,6.946213204749999e+20,5.0
UCSB37,Rochester38,1.1526248482451e+24,6.0
UCSB37,Rochester38,1.7582229718529001e+28,7.0
UCSB37,Rochester38,1.6470340422587488e+32,8.0
UCSB37,Oberlin44,55745584093000.0,3.0
UCSB37,Oberlin44,5.36577212205e+16,4.0
UCSB37,Oberlin44,2.15691420947e+20,5.0
UCSB37,Oberlin44,1.81877319925e+23,6.0
UCSB37,Oberlin44,1.23275751058e+27,7.0
UCSB37,Oberlin44,6.53356035032048e+29,8.0
UCSB37,Vanderbilt48,454262845320000.0,3.0
UCSB37,Vanderbilt48,6.62636214968e+17,4.0
UCSB37,Vanderbilt48,6.93876111909e+21,5.0
UCSB37,Vanderbilt48,2.01415682943e+25,6.0
UCSB37,Vanderbilt48,6.324401898111401e+29,7.0
UCSB37,Vanderbilt48,9.57322464139988e+33,8.0
UCSB37,USF51,209398736520000.0,3.0
UCSB37,USF51,6.19026132492e+16,4.0
UCSB37,USF51,9.6259381509e+20,5.0
UCSB37,USF51,1.5026424513399993e+22,6.0
UCSB37,USF51,1.397031244246e+28,7.0
UCSB37,USF51,4.138633895468749e+31,8.0
UCSB37,GWU54,404077532200000.0,3.0
UCSB37,GWU54,2.95729472601e+17,4.0
UCSB37,GWU54,4.60702962503e+21,5.0
UCSB37,GWU54,1.3165131792360002e+25,6.0
UCSB37,GWU54,4.7861870248078996e+29,7.0
UCSB37,GWU54,8.087117514853133e+33,8.0
UCSB37,WashU32,360851106230000.0,3.0
UCSB37,WashU32,4.68228867774e+17,4.0
UCSB37,WashU32,4.1840437511299997e+21,5.0
UCSB37,WashU32,8.901889262116e+24,6.0
UCSB37,WashU32,2.0349591026847002e+29,7.0
UCSB37,WashU32,2.451934341466756e+33,8.0
UCSB37,USC35,865935083310000.0,3.0
UCSB37,USC35,4.874216719e+16,4.0
UCSB37,USC35,4.769210146527501e+22,5.0
UCSB37,USC35,6.0055535393687996e+26,6.0
UCSB37,USC35,5.523682561750345e+31,7.0
UCSB37,USC35,2.194510659118836e+36,8.0
UCSB37,JohnsHopkins55,148843664976000.0,3.0
UCSB37,JohnsHopkins55,1.50744853616e+17,4.0
UCSB37,JohnsHopkins55,9.1969556024e+20,5.0
UCSB37,JohnsHopkins55,8.3855464644e+23,6.0
UCSB37,JohnsHopkins55,9.727716527482999e+27,7.0
UCSB37,JohnsHopkins55,2.099174766337297e+31,8.0
UCSB37,Cal65,227844870320000.0,3.0
UCSB37,Cal65,2.14250926902e+17,4.0
UCSB37,Cal65,9.573077807159999e+20,5.0
UCSB37,Cal65,6.891023142196e+23,6.0
