,m,n,p,s,K,corr,ind,time
0,1,100,0.2,0.6000000000000001,3,1.0,0.0,233.19372248649597
1,1,100,0.2,0.7000000000000001,3,0.0,0.0,366.9808039665222
2,1,100,0.2,0.8,3,0.0,0.0,605.2538766860962
3,1,100,0.2,0.9,3,0.0,0.0,558.5841403007507
