File A,File B,Iterations,Similarity,n
UCSB37,Virginia63,1000.0,0.3574713240584293,5.0
UCSB37,Pepperdine86,1000.0,0.9991535728316219,5.0
UCSB37,Rutgers89,1000.0,0.8040218222777966,5.0
UCSB37,Bucknell39,1000.0,0.9965350201967222,5.0
UC64,Mich67,1000.0,0.9909037286655029,5.0
UC64,Brown11,1000.0,0.9976504820626817,5.0
UC64,Wake73,1000.0,0.9982558959282709,5.0
UC64,MSU24,1000.0,0.5252714152392154,5.0
UC64,Stanford3,1000.0,0.992518907827788,5.0
UC64,Duke14,1000.0,0.9895559197772786,5.0
UC64,UCSC68,1000.0,0.9743803625786285,5.0
UC64,Rice31,1000.0,0.9693979951603829,5.0
UC64,Tulane29,1000.0,0.9994843314664805,5.0
UC64,Lehigh96,1000.0,0.9991045551626452,5.0
UC64,NYU9,1000.0,0.6462605754453037,5.0
UC64,Penn94,1000.0,0.5487515023344229,5.0
UC64,Syracuse56,1000.0,0.9751976976611323,5.0
UC64,UC61,1000.0,0.9864335734675833,5.0
UC64,Trinity100,1000.0,0.9643763903355109,5.0
UC64,UCSD34,1000.0,0.652134701006659,5.0
UC64,Maine59,1000.0,0.976229734883387,5.0
UC64,MIT8,1000.0,0.986638321185574,5.0
UC64,UGA50,1000.0,0.831817639897115,5.0
UC64,Brandeis99,1000.0,0.590379134303647,5.0
UC64,UCF52,1000.0,0.522644163845803,5.0
UC64,UPenn7,1000.0,0.9965454981138551,5.0
UC64,FSU53,1000.0,0.8018743678909048,5.0
UC64,Caltech36,1000.0,0.9692700611782474,5.0
UC64,Rochester38,1000.0,0.9450749777824666,5.0
UC64,Oberlin44,1000.0,0.9868748238884969,5.0
UC64,Vanderbilt48,1000.0,0.8738797754433387,5.0
UC64,USF51,1000.0,0.9890464162467127,5.0
UC64,GWU54,1000.0,0.7557579081688325,5.0
UC64,WashU32,1000.0,0.9386098767917906,5.0
UC64,USC35,1000.0,0.5562729805446313,5.0
UC64,JohnsHopkins55,1000.0,0.9980055506216342,5.0
UC64,Cal65,1000.0,0.9689442538544046,5.0
UC64,BU10,1000.0,0.8143940610895115,5.0
UC64,Princeton12,1000.0,0.9714372236563092,5.0
UC64,Maryland58,1000.0,0.5468296300630214,5.0
UC64,Amherst41,1000.0,0.9681007583371489,5.0
UC64,Vassar85,1000.0,0.9680467824378155,5.0
UC64,USFCA72,1000.0,0.9820620352970085,5.0
UC64,Wesleyan43,1000.0,0.969881430323578,5.0
UC64,Yale4,1000.0,0.751214918466373,5.0
UC64,MU78,1000.0,0.97129547457173,5.0
UC64,UIllinois20,1000.0,0.5605742497968295,5.0
UC64,Hamilton46,1000.0,0.9750466352649719,5.0
UC64,Middlebury45,1000.0,0.9684941721086401,5.0
UC64,UConn91,1000.0,0.9166611185267988,5.0
UC64,American75,1000.0,0.9995946762026624,5.0
UC64,Villanova62,1000.0,0.9986649560052626,5.0
UC64,Bowdoin47,1000.0,0.9833562504961095,5.0
UC64,Williams40,1000.0,0.9766330730114138,5.0
UC64,UNC28,1000.0,0.5645413952478703,5.0
UC64,Tennessee95,1000.0,0.5448657584344628,5.0
UC64,Reed98,1000.0,0.9834066563970505,5.0
UC64,Baylor93,1000.0,0.9460609908612548,5.0
UC64,UVA16,1000.0,0.6381108104892844,5.0
UC64,Emory27,1000.0,0.988595725169424,5.0
UC64,Indiana69,1000.0,0.9988147724775,5.0
UC64,UC33,1000.0,0.9557891010792782,5.0
UC64,Auburn71,1000.0,0.553535784292088,5.0
UC64,NotreDame57,1000.0,0.9840726442345348,5.0
UC64,Wisconsin87,1000.0,0.5426007735242021,5.0
UC64,Texas80,1000.0,0.9920341286420192,5.0
UC64,Howard90,1000.0,0.9951810129880906,5.0
UC64,JMU79,1000.0,0.5443057801503038,5.0
UC64,Mississippi66,1000.0,0.9994168038706399,5.0
UC64,Simmons81,1000.0,0.9777865902201497,5.0
UC64,Colgate88,1000.0,0.9749073202329317,5.0
UC64,Santa74,1000.0,0.9995281461276122,5.0
UC64,Temple83,1000.0,0.7654551890379316,5.0
UC64,Texas84,1000.0,0.5347810207865977,5.0
UC64,Oklahoma97,1000.0,0.8184240619048785,5.0
UC64,Wellesley22,1000.0,0.997796965849234,5.0
UC64,Michigan23,1000.0,0.9268921303625589,5.0
UC64,Northeastern19,1000.0,0.9739052298466301,5.0
UC64,Northwestern25,1000.0,0.8244204815314171,5.0
UC64,Georgetown15,1000.0,0.9993660542158193,5.0
UC64,UCLA26,1000.0,0.9965605508741614,5.0
UC64,Cornell5,1000.0,0.6011968771281174,5.0
UC64,UF21,1000.0,0.5209514441046627,5.0
UC64,William77,1000.0,0.9861747437224245,5.0
UC64,Harvard1,1000.0,0.981746178542566,5.0
UC64,Carnegie49,1000.0,0.996923572222228,5.0
UC64,Vermont70,1000.0,0.9862008447330587,5.0
UC64,Bingham82,1000.0,0.9709351090180861,5.0
UC64,UChicago30,1000.0,0.74320604854798,5.0
UC64,BC17,1000.0,0.9964198410653125,5.0
UC64,Smith60,1000.0,0.9647172730949484,5.0
UC64,Columbia2,1000.0,0.5754067775626126,5.0
UC64,Dartmouth6,1000.0,0.9920171804145955,5.0
UC64,UMass92,1000.0,0.5330500226406211,5.0
UC64,Tufts18,1000.0,0.9875318075100469,5.0
UC64,Berkeley13,1000.0,0.5660497210920137,5.0
UC64,Virginia63,1000.0,0.5190264058112941,5.0
UC64,Pepperdine86,1000.0,0.9754968912859141,5.0
UC64,Rutgers89,1000.0,0.8970489512729523,5.0
UC64,Bucknell39,1000.0,0.9656267197347729,5.0
Mich67,Brown11,1000.0,0.9976260391843922,5.0
Mich67,Wake73,1000.0,0.9824219691262919,5.0
Mich67,MSU24,1000.0,0.4089157147145389,5.0
Mich67,Stanford3,1000.0,0.9998382198419209,5.0
Mich67,Duke14,1000.0,0.9622766767804456,5.0
Mich67,UCSC68,1000.0,0.9956147287650178,5.0
Mich67,Rice31,1000.0,0.9933991691700862,5.0
Mich67,Tulane29,1000.0,0.9883754421770008,5.0
Mich67,Lehigh96,1000.0,0.9949044611346013,5.0
Mich67,NYU9,1000.0,0.5405809674770164,5.0
Mich67,Penn94,1000.0,0.4345183791301195,5.0
Mich67,Syracuse56,1000.0,0.9373004323315991,5.0
Mich67,UC61,1000.0,0.9993830869027206,5.0
Mich67,Trinity100,1000.0,0.9907596459932914,5.0
Mich67,UCSD34,1000.0,0.5468960365151458,5.0
Mich67,Maine59,1000.0,0.9398249691710441,5.0
Mich67,MIT8,1000.0,0.9994772319487628,5.0
Mich67,UGA50,1000.0,0.7515028613487057,5.0
Mich67,Brandeis99,1000.0,0.4785138495437699,5.0
Mich67,UCF52,1000.0,0.4062773953579962,5.0
Mich67,UPenn7,1000.0,0.9784517822129095,5.0
Mich67,FSU53,1000.0,0.7163021175942608,5.0
Mich67,Caltech36,1000.0,0.9933100193955675,5.0
Mich67,Rochester38,1000.0,0.8937264445744582,5.0
Mich67,Oberlin44,1000.0,0.9994962081393763,5.0
Mich67,Vanderbilt48,1000.0,0.8019758754654521,5.0
Mich67,USF51,1000.0,0.9630633587266046,5.0
Mich67,GWU54,1000.0,0.6627792154418395,5.0
