,m,n,p,H,K,rec,exp,err,time
0,3,50,0.5,0-1-2-1-1,4,280196.2385861561,305101.44,-0.08888485277144764,81.11761903762817
1,3,100,0.5,0-1-2-1-1,4,10364818.284241531,10841402.879999999,-0.04598098902351788,327.0079720020294
2,3,150,0.5,0-1-2-1-1,4,85399848.34266077,85190404.32,0.002452510475433156,772.7309370040894
3,3,200,0.5,0-1-2-1-1,4,373725399.78252333,365133605.76,0.02298959082664187,1383.5152668952942
4,3,250,0.5,0-1-2-1-1,4,1151511312.0436916,1125652507.1999998,0.022456405398048496,2191.305540084839
