,m,n,p,s,K,corr,ind,time
0,20,100,0.5,0.0,4,1.0,1.0,11.432624101638794
1,20,100,0.5,0.05,4,0.55,0.35,115.56334519386292
2,20,100,0.5,0.1,4,0.55,0.3,114.51353597640991
3,20,100,0.5,0.15000000000000002,4,0.6,0.45,112.2955687046051
4,20,100,0.5,0.2,4,0.55,0.35,113.41750597953796
5,20,100,0.5,0.25,4,0.5,0.75,113.23524904251099
6,20,100,0.5,0.30000000000000004,4,0.45,0.2,113.33882212638855
7,20,100,0.5,0.35000000000000003,4,0.35,0.55,114.30780076980591
8,20,100,0.5,0.4,4,0.65,0.35,14135.338130235672
9,20,100,0.5,0.45,4,0.5,0.45,35708.02334308624
10,20,100,0.5,0.5,4,0.45,0.55,2149.2585949897766
11,20,100,0.5,0.55,4,0.4,0.4,10822.03046989441
12,20,100,0.5,0.6000000000000001,4,0.7,0.45,17776.517765283585
13,20,100,0.5,0.65,4,0.35,0.45,229.85496425628662
14,20,100,0.5,0.7000000000000001,4,0.35,0.6,223.1610312461853
15,20,100,0.5,0.75,4,0.5,0.5,223.52511310577393
16,20,100,0.5,0.8,4,0.4,0.4,236.32527828216553
17,20,100,0.5,0.8500000000000001,4,0.25,0.3,274.0824251174927
18,20,100,0.5,0.9,4,0.2,0.25,271.37938809394836
19,20,100,0.5,0.9500000000000001,4,0.3,0.3,275.32377791404724
20,20,100,0.5,1.0,4,0.2,0.1,269.8200612068176
